dataset,LLM type,task1,recall,precision,F1 score,task2,HR@10,NDCG@10
fr,Llama_70B,anomaly_detection,0.9772727272727273,0.7478260869565218,0.8472906403940887,behavior_prediction,0.8735632183908046,0.4454519201614436
fr,Qwen2.5_72B,anomaly_detection,1.0,0.6821705426356589,0.8110599078341014,behavior_prediction,0.9770114942528736,0.7582055359846439
fr,gpt-4o,anomaly_detection,0.9886363636363636,0.7631578947368421,0.8613861386138614,behavior_prediction,0.9425287356321839,0.5745692114315442
sp,Llama_70B,anomaly_detection,1.0,0.6265060240963856,0.7703703703703704,behavior_prediction,0.5116918844566712,0.3916128222561593
sp,Qwen2.5_72B,anomaly_detection,0.9945054945054945,0.5919869174161897,0.7421834956432599,behavior_prediction,0.5240715268225584,0.4477443367932351
sp,gpt-4o,anomaly_detection,0.9903846153846154,0.8573127229488704,0.9190567240280433,behavior_prediction,0.9312242090784044,0.5957510433780535
us,Llama_70B,anomaly_detection,1.0,0.6955719557195572,0.8204570184983678,behavior_prediction,0.681592039800995,0.46510619014760946
us,Qwen2.5_72B,anomaly_detection,0.8978779840848806,0.5445405188015282,0.6779321567154837,behavior_prediction,0.9741293532338309,0.7550863349849938
us,gpt-4o,anomaly_detection,0.8942307692307693,0.8722509702457956,0.8831041257367387,behavior_prediction,0.9134328358208955,0.702685996313376
