dataset,threshold,task1,recall,precision,F1 score,task2,HR@10,NDCG@10
fr,0.918,anomaly_detection,1.0,0.6848920863309352,0.8129803586678053,behavior_prediction,0.7087276550998949,0.35545230430170005
fr,0.919,anomaly_detection,1.0,0.8088360237892949,0.8943165805542509,behavior_prediction,0.7476340694006309,0.3641642772918346
fr,0.92,anomaly_detection,1.0,0.9416419386745796,0.9699439633214467,behavior_prediction,0.7718191377497371,0.49699586794853245
sp,0.918,anomaly_detection,0.7813599062133646,0.9074200136147039,0.8396850393700788,behavior_prediction,0.7407624633431085,0.5413946632980023
sp,0.919,anomaly_detection,1.0,0.719831223628692,0.8370951913640824,behavior_prediction,0.7677419354838709,0.4278488242082785
sp,0.92,anomaly_detection,1.0,0.8277535177098496,0.9057605521635254,behavior_prediction,0.7900293255131965,0.6058781084429817
us,0.918,anomaly_detection,0.7258110824002297,0.6063804269609019,0.6607422895974909,behavior_prediction,0.9425617461229179,0.5815515076297009
us,0.919,anomaly_detection,1.0,0.6918951132300357,0.8178936245156745,behavior_prediction,0.9520390580126364,0.7092059027063828
us,0.92,anomaly_detection,1.0,0.7020761943156621,0.824964471814306,behavior_prediction,0.9276278001148766,0.7313947560442866
