dataset,split gap 1,task1,recall,precision,F1 score,task2,HR@10,NDCG@10
fr,6,anomaly_detection,1.0,0.676923076923077,0.8073394495412844,behavior_prediction,0.9770114942528736,0.6413632147959822
fr,9,anomaly_detection,0.9886363636363636,0.7631578947368421,0.8613861386138614,behavior_prediction,0.9540229885057471,0.5826987621738767
fr,12,anomaly_detection,1.0,0.6330935251798561,0.7753303964757708,behavior_prediction,0.8160919540229885,0.5338305711867148
fr,15,anomaly_detection,1.0,0.6984126984126984,0.822429906542056,behavior_prediction,0.9195402298850575,0.5387301012642077
sp,6,anomaly_detection,0.8461538461538461,0.8914616497829233,0.8682170542635659,behavior_prediction,0.9174690508940853,0.6681185735035201
sp,9,anomaly_detection,0.9903846153846154,0.8573127229488704,0.9190567240280433,behavior_prediction,0.9339752407152683,0.6297529285459287
sp,12,anomaly_detection,1.0,0.8494749124854143,0.9186119873817036,behavior_prediction,0.9298486932599724,0.6339967889979274
sp,15,anomaly_detection,0.7925824175824175,0.8326118326118326,0.8121041520056297,behavior_prediction,0.9312242090784044,0.573649686157585
