dataset,environment,model,HR@10,NDCG@10
fr,spring,SASRec_fixed,0.9540229885057471,0.5636128050869728
fr,night,SASRec_fixed,0.7833859095688749,0.517360063877325
fr,multiple,SASRec_fixed,0.9213483146067416,0.6570623407147194
sp,spring,SASRec_fixed,0.9325997248968363,0.7331742202844099
sp,night,SASRec_fixed,0.8956011730205279,0.6178158975659229
sp,multiple,SASRec_fixed,0.8152866242038217,0.5613668888730923
us,spring,SASRec_fixed,0.9134328358208955,0.7072570097668235
us,night,SASRec_fixed,0.9503159103963239,0.7238870780775412
us,multiple,SASRec_fixed,0.7973815461346634,0.5616021077169444
