dataset,environment,model,ACC@1,ACC@3,ACC@5,HR@10,NDCG@10,Macro-F1
fr,daytime,FMC_fixed,0.027237354085603113,0.0622568093385214,0.0933852140077821,0.16342412451361868,0.08341411234204688,0.0049907377138498415
fr,single,FMC_fixed,0.1509433962264151,0.2389937106918239,0.34591194968553457,0.3941299790356394,0.2565110405103209,0.03093278049431237
fr,winter,FMC_fixed,0.16216216216216217,0.35135135135135137,0.38738738738738737,0.42342342342342343,0.30725773091143965,0.020054677552243275
sp,daytime,FMC_fixed,0.3347107438016529,0.4214876033057851,0.44214876033057854,0.5041322314049587,0.4158262903916326,0.01667181228774313
sp,single,FMC_fixed,0.236,0.382,0.478,0.658,0.4188210108135622,0.03148860637419669
sp,winter,FMC_fixed,0.15683646112600536,0.2761394101876676,0.3257372654155496,0.39276139410187666,0.26840622269028763,0.024041244227180653
us,daytime,FMC_fixed,0.20710823909531503,0.417124394184168,0.4752827140549273,0.5318255250403877,0.3710536407559662,0.07284960840443845
us,single,FMC_fixed,0.136,0.221,0.257,0.334,0.22504617949710884,0.04613073514390021
us,winter,FMC_fixed,0.13776493256262043,0.21644187540141296,0.26718047527296085,0.37475915221579964,0.23655848003432547,0.022835732126528042
