dataset,environment,model,HR@10,NDCG@10
fr,winter,SASRec_fixed,0.4482758620689655,0.23934877889961065
fr,daytime,SASRec_fixed,0.5205047318611987,0.31299833915603464
fr,single,SASRec_fixed,0.2696629213483146,0.18459240550323888
sp,winter,SASRec_fixed,0.19257221458046767,0.11833348264852203
sp,daytime,SASRec_fixed,0.6527859237536657,0.2722691273180592
sp,single,SASRec_fixed,0.46496815286624205,0.2752011269498681
us,winter,SASRec_fixed,0.6361525704809287,0.4695900281258642
us,daytime,SASRec_fixed,0.6625502584721424,0.5378851629440511
us,single,SASRec_fixed,0.8226309226932669,0.6117722316428279
