dataset,environment,model,ACC@1,ACC@3,ACC@5,HR@10,NDCG,Macro-F1
fr,daytime,LSTM_fixed,0.26459143968871596,0.3540856031128405,0.38132295719844356,0.43190661478599224,0.34480752012062843,0.03459921676677615
fr,single,LSTM_fixed,0.2222222222222222,0.34591194968553457,0.42138364779874216,0.5241090146750524,0.3597822615748197,0.049380592359185425
fr,winter,LSTM_fixed,0.2702702702702703,0.4144144144144144,0.42342342342342343,0.5315315315315315,0.40121236845431685,0.04713804713804713
sp,daytime,LSTM_fixed,0.4628099173553719,0.6157024793388429,0.6735537190082644,0.7066115702479339,0.5879108737882232,0.04133673537647048
sp,single,LSTM_fixed,0.374,0.51,0.64,0.784,0.5527744286180793,0.04437510958433054
sp,winter,LSTM_fixed,0.28820375335120646,0.36863270777479895,0.3941018766756032,0.43029490616621985,0.3587025928556659,0.04335280384429509
us,daytime,LSTM_fixed,0.23618739903069466,0.47075928917609045,0.5360258481421648,0.602907915993538,0.4214095540811346,0.08305016638605586
us,single,LSTM_fixed,0.127,0.266,0.343,0.456,0.27421842152039083,0.03496826500211309
us,winter,LSTM_fixed,0.13583815028901733,0.2726396917148362,0.3195247270391779,0.4312780989081567,0.2685258854097114,0.016531493096947576
