dataset,environment,model,ACC@1,ACC@3,ACC@5,HR@10,NDCG@10,Macro-F1
fr,winter,HMM_fixed,0.26126126126126126,0.43243243243243246,0.4954954954954955,0.6306306306306306,0.43488577334663864,0.070455731303057
fr,daytime,HMM_fixed,0.2490272373540856,0.36186770428015563,0.44357976653696496,0.5953307392996109,0.39472032316628874,0.03218821799466961
fr,single,HMM_fixed,0.15513626834381553,0.23689727463312368,0.2914046121593291,0.4612159329140461,0.28021754796359183,0.0253434047137444
sp,winter,HMM_fixed,0.257372654155496,0.35924932975871315,0.4101876675603217,0.47587131367292224,0.35776402852221406,0.02535929389014682
sp,daytime,HMM_fixed,0.371900826446281,0.5413223140495868,0.6570247933884298,0.7231404958677686,0.5387437219744186,0.06117171245795174
sp,single,HMM_fixed,0.25,0.328,0.358,0.496,0.3554219289597579,0.030117395078639614
us,winter,HMM_fixed,0.13680154142581888,0.3098908156711625,0.352922286448298,0.4434810533076429,0.2863559263148784,0.02960919607833769
us,daytime,HMM_fixed,0.12891760904684976,0.3298869143780291,0.4239095315024233,0.5505654281098546,0.3226319690485785,0.017905257763621465
us,single,HMM_fixed,0.096,0.218,0.28,0.386,0.22805315231564793,0.017743685283416393
