dataset,env,recall_ori,precision_ori,F1 score_ori,recall_S1,precision_S1,F1 score_S1,recall_S2,precision_S2,F1 score_S2
fr,spring,0.9886363636363636,0.75,0.8529411764705882,0.9772727272727273,0.7543859649122807,0.8514851485148516,0.9886363636363636,0.7631578947368421,0.8613861386138614
fr,night,1.0,0.9416419386745796,0.9699439633214467,1.0,0.9416419386745796,0.9699439633214467,1.0,0.9416419386745796,0.9699439633214467
fr,multiple,1.0,0.8737864077669902,0.932642487046632,1.0,0.8737864077669902,0.932642487046632,1.0,0.8737864077669902,0.932642487046632
sp,spring,0.9107142857142857,0.8781456953642384,0.8941335131490222,0.9601648351648352,0.8524390243902439,0.9031007751937984,0.9903846153846154,0.8573127229488704,0.9190567240280433
sp,night,1.0,0.9276780859162589,0.9624823695345558,0.7825322391559203,0.7899408284023669,0.7862190812720848,1.0,0.9276780859162589,0.9624823695345558
sp,multiple,0.0,0.0,0.0,1.0,0.6475409836065574,0.7860696517412936,1.0,0.6583333333333333,0.7939698492462312
us,spring,0.8670424403183024,0.8576582486061004,0.8623248145094807,0.9151193633952255,0.8544891640866873,0.8837656099903939,1.0,0.8696655132641292,0.9302899444787168
us,night,1.0,0.7063475968363415,0.8279058711671025,1.0,0.6743465634075508,0.8055041628122109,1.0,0.7809417040358745,0.8769986151328214
us,multiple,1.0,0.6755789473684211,0.806382711395904,1.0,0.7148585431053687,0.8337230449467394,1.0,0.7248701152021685,0.8404924044002096
