dataset,env,type1,recall,precision,F1 score,type2,type3
fr,spring,ori,0.9886363636363636,0.7631578947368421,0.8613861386138614,S1,S2
fr,night,ori,1.0,0.9416419386745796,0.9699439633214467,S1,S2
fr,multiple,ori,1.0,0.8737864077669902,0.932642487046632,S1,S2
sp,spring,ori,0.9903846153846154,0.8573127229488704,0.9190567240280433,S1,S2
sp,night,ori,1.0,0.9276780859162589,0.9624823695345558,S1,S2
sp,multiple,ori,1.0,0.6583333333333333,0.7939698492462312,S1,S2
us,spring,ori,1.0,0.8696655132641292,0.9302899444787168,S1,S2
us,night,ori,1.0,0.7809417040358745,0.8769986151328214,S1,S2
us,multiple,ori,1.0,0.7248701152021685,0.8404924044002096,S1,S2
