dataset,environment,model,ACC@1,ACC@3,ACC@5,HR@10,NDCG@10,Macro-F1
fr,daytime,Caser_fixed,0.2723735408560311,0.377431906614786,0.42412451361867703,0.5953307392996109,0.408657945449116,0.02952991452991453
fr,single,Caser_fixed,0.31446540880503143,0.44234800838574423,0.5094339622641509,0.6352201257861635,0.4558448445348332,0.0577261868256346
fr,winter,Caser_fixed,0.27927927927927926,0.4594594594594595,0.4864864864864865,0.5135135135135135,0.40602125598253347,0.0621781540899188
sp,daytime,Caser_fixed,0.4090909090909091,0.47107438016528924,0.5041322314049587,0.5702479338842975,0.4754162004326395,0.03201150378850727
sp,single,Caser_fixed,0.374,0.568,0.696,0.788,0.5691581913635031,0.03576027317709295
sp,winter,Caser_fixed,0.3136729222520107,0.37667560321715815,0.39544235924932974,0.4289544235924933,0.3696169133555318,0.047477689917372085
us,daytime,Caser_fixed,0.22552504038772214,0.46106623586429724,0.5282714054927302,0.5961227786752827,0.41148596323110403,0.09143246146710177
us,single,Caser_fixed,0.131,0.266,0.373,0.494,0.29054716734813485,0.03624205645566977
us,winter,Caser_fixed,0.2029543994861914,0.3301220295439949,0.3872832369942196,0.4489402697495183,0.3215086195781231,0.07495153650207977
