dataset,environment,model,ACC@1,ACC@3,ACC@5,HR@10,NDCG@10,Macro-F1
fr,winter,SITAR_fixed,0.26126126126126126,0.36936936936936937,0.4144144144144144,0.4954954954954955,0.3690746739230302,0.037586751872466156
fr,daytime,SITAR_fixed,0.06614785992217899,0.09727626459143969,0.3852140077821012,0.5797665369649806,0.26846263264974246,0.009097833808337827
fr,single,SITAR_fixed,0.16352201257861634,0.3731656184486373,0.4570230607966457,0.5513626834381551,0.3504587893528072,0.015135502813647164
sp,winter,SITAR_fixed,0.22788203753351208,0.34986595174262736,0.37131367292225204,0.41152815013404825,0.32432514989913974,0.02239851851274229
sp,daytime,SITAR_fixed,0.4090909090909091,0.5,0.512396694214876,0.628099173553719,0.504001153622574,0.036818771626297576
sp,single,SITAR_fixed,0.258,0.404,0.516,0.666,0.43850972721449794,0.029949892932875526
us,winter,SITAR_fixed,0.0019267822736030828,0.15285806037251123,0.3018625561978163,0.42870905587668595,0.1832162937016908,0.00015019929591807046
us,daytime,SITAR_fixed,0.1767366720516963,0.37964458804523427,0.42552504038772215,0.5117932148626817,0.33828928824170085,0.0324524024156094
us,single,SITAR_fixed,0.126,0.251,0.299,0.427,0.2594587474901366,0.02575970253916801
